Algorithm,Function,Run,Best_Fitness
A-POA,CEC2017_F8,37,800.0014052848171
A-POA,CEC2017_F8,38,800.0018376140662
A-POA,CEC2017_F8,39,800.000819815814
A-POA,CEC2017_F8,40,800.0006106978427
A-POA,CEC2017_F8,41,800.0004972426605
A-POA,CEC2017_F8,42,800.1802452576736
A-POA,CEC2017_F8,43,800.1797054127719
A-POA,CEC2017_F8,44,800.0902732391543
A-POA,CEC2017_F8,45,800.0019994314803
A-POA,CEC2017_F8,46,800.1793128014733
A-POA,CEC2017_F8,47,800.000334418792
A-POA,CEC2017_F8,48,800.1774581476079
A-POA,CEC2017_F8,49,800.0001956247426
A-POA,CEC2017_F9,0,900.5626978427717
A-POA,CEC2017_F9,1,1197.7981689618923
A-POA,CEC2017_F9,2,1534.2514900472106
A-POA,CEC2017_F9,3,1343.0245978470766
A-POA,CEC2017_F9,4,1400.6137767214168
A-POA,CEC2017_F9,5,1773.1783418875498
A-POA,CEC2017_F9,6,1560.5180620291658
A-POA,CEC2017_F9,7,1337.78380080569
A-POA,CEC2017_F9,8,1773.6616178172462
A-POA,CEC2017_F9,9,1420.279008417153
A-POA,CEC2017_F9,10,1861.4138395982827
A-POA,CEC2017_F9,11,1336.6578201150287
A-POA,CEC2017_F9,12,1538.0573832110222
A-POA,CEC2017_F9,13,1340.7157083370812
A-POA,CEC2017_F9,14,1127.4635481145724
A-POA,CEC2017_F9,15,1656.2885993504224
A-POA,CEC2017_F9,16,1692.5941062253814
A-POA,CEC2017_F9,17,1694.1599248363464
A-POA,CEC2017_F9,18,1657.6068744903232
A-POA,CEC2017_F9,19,1681.2084499746993
A-POA,CEC2017_F9,20,1261.694851331144
A-POA,CEC2017_F9,21,1262.7910971816382
A-POA,CEC2017_F9,22,1954.5160573667672
A-POA,CEC2017_F9,23,911.7941337332712
A-POA,CEC2017_F9,24,1596.0828151851483
A-POA,CEC2017_F9,25,1557.2359234679611
A-POA,CEC2017_F9,26,1122.3234552084132
A-POA,CEC2017_F9,27,1501.39290622627
A-POA,CEC2017_F9,28,1125.116052550044
A-POA,CEC2017_F9,29,1772.5536371453272
A-POA,CEC2017_F9,30,904.4876239953592
A-POA,CEC2017_F9,31,1118.5071473156413
A-POA,CEC2017_F9,32,1634.9755615380832
A-POA,CEC2017_F9,33,1758.9752801813834
A-POA,CEC2017_F9,34,1914.8220047513428
A-POA,CEC2017_F9,35,1204.7998775794467
A-POA,CEC2017_F9,36,1743.0612274495788
A-POA,CEC2017_F9,37,1382.8028561900128
A-POA,CEC2017_F9,38,1774.8722384119128
A-POA,CEC2017_F9,39,1870.4508255331712
A-POA,CEC2017_F9,40,1197.0167413960162
A-POA,CEC2017_F9,41,1912.3868691153575
A-POA,CEC2017_F9,42,1638.1267124338765
A-POA,CEC2017_F9,43,1696.1943568284814
A-POA,CEC2017_F9,44,1441.3672000692254
A-POA,CEC2017_F9,45,1121.7422759032142
A-POA,CEC2017_F9,46,1686.45463933587
A-POA,CEC2017_F9,47,1971.835832919204
A-POA,CEC2017_F9,48,1596.4498107832674
A-POA,CEC2017_F9,49,1421.6463079080463
A-POA,CEC2017_F10,0,7878.832131475316
A-POA,CEC2017_F10,1,11799.660342657156
A-POA,CEC2017_F10,2,15172.180322226295
A-POA,CEC2017_F10,3,21187.349292732153
A-POA,CEC2017_F10,4,14953.715436424538
A-POA,CEC2017_F10,5,8962.506671965482
A-POA,CEC2017_F10,6,6316.440360583878
A-POA,CEC2017_F10,7,8400.026616282345
A-POA,CEC2017_F10,8,8674.30746512859
A-POA,CEC2017_F10,9,15499.984215103026
A-POA,CEC2017_F10,10,9412.08612791351
A-POA,CEC2017_F10,11,16648.235183213263
A-POA,CEC2017_F10,12,10846.624942568516
A-POA,CEC2017_F10,13,13393.344854664145
A-POA,CEC2017_F10,14,10222.134761796284
A-POA,CEC2017_F10,15,14128.25897643024
A-POA,CEC2017_F10,16,9597.566996334965
A-POA,CEC2017_F10,17,11492.81746568995
A-POA,CEC2017_F10,18,10422.292594966755
A-POA,CEC2017_F10,19,12660.554691908024
A-POA,CEC2017_F10,20,12185.013192618637
A-POA,CEC2017_F10,21,8012.281186614697
A-POA,CEC2017_F10,22,6923.019471241887
A-POA,CEC2017_F10,23,16529.813878370074
A-POA,CEC2017_F10,24,17865.79405909333
A-POA,CEC2017_F10,25,6563.081185938402
A-POA,CEC2017_F10,26,16394.321506652763
A-POA,CEC2017_F10,27,10789.597541071338
A-POA,CEC2017_F10,28,9216.675027373807
A-POA,CEC2017_F10,29,8561.867512135886
A-POA,CEC2017_F10,30,6894.785215050671
A-POA,CEC2017_F10,31,8984.070633637486
A-POA,CEC2017_F10,32,12719.612611601708
A-POA,CEC2017_F10,33,6948.940493957323
A-POA,CEC2017_F10,34,8631.756195957334
A-POA,CEC2017_F10,35,9011.533439572631
A-POA,CEC2017_F10,36,9453.204454840792
A-POA,CEC2017_F10,37,8576.787905360328
A-POA,CEC2017_F10,38,13790.520404912935
A-POA,CEC2017_F10,39,11617.880997376267
A-POA,CEC2017_F10,40,4817.3255907450175
A-POA,CEC2017_F10,41,7071.205732896443
A-POA,CEC2017_F10,42,9084.25256218515
A-POA,CEC2017_F10,43,10002.494884886282
A-POA,CEC2017_F10,44,11065.544392638947
A-POA,CEC2017_F10,45,11335.52905447134
A-POA,CEC2017_F10,46,11153.326908913732
A-POA,CEC2017_F10,47,11552.384640589296
A-POA,CEC2017_F10,48,10050.428032626083
A-POA,CEC2017_F10,49,13013.662426153562
A-POA,CEC2017_F11,0,314965.1297973993
A-POA,CEC2017_F11,1,212701.5177466319
A-POA,CEC2017_F11,2,79915.89231568163
A-POA,CEC2017_F11,3,448895.6557664807
A-POA,CEC2017_F11,4,3247848.3515135567
A-POA,CEC2017_F11,5,62255.1507131617
A-POA,CEC2017_F11,6,47512.66268384927
A-POA,CEC2017_F11,7,1126425.654528322
A-POA,CEC2017_F11,8,557717.4505463929
A-POA,CEC2017_F11,9,1224492.5532075253
A-POA,CEC2017_F11,10,219935.88911653936
A-POA,CEC2017_F11,11,1066268.862702497
A-POA,CEC2017_F11,12,762207.1069652635
A-POA,CEC2017_F11,13,1271604.7549071724
A-POA,CEC2017_F11,14,90308.06655242766
A-POA,CEC2017_F11,15,4362.387744073096
A-POA,CEC2017_F11,16,2334112.650169814
A-POA,CEC2017_F11,17,1465791.9274668065
A-POA,CEC2017_F11,18,604121.7068088511
A-POA,CEC2017_F11,19,369773.10168014927
A-POA,CEC2017_F11,20,7523.359224337598
A-POA,CEC2017_F11,21,1249424.5824098757
A-POA,CEC2017_F11,22,758965.0562461197
A-POA,CEC2017_F11,23,855178.709083221
A-POA,CEC2017_F11,24,699018.6267191012
A-POA,CEC2017_F11,25,277898.6941904426
A-POA,CEC2017_F11,26,108018.2544581662
A-POA,CEC2017_F11,27,34165.046734164935
A-POA,CEC2017_F11,28,2522124.8796608746
A-POA,CEC2017_F11,29,302014.6460278541
A-POA,CEC2017_F11,30,1500179.6897495848
A-POA,CEC2017_F11,31,538528.9170885925
A-POA,CEC2017_F11,32,480953.43512181984
A-POA,CEC2017_F11,33,6717.72681961903
A-POA,CEC2017_F11,34,631909.0536618906
A-POA,CEC2017_F11,35,47663.45432128453
A-POA,CEC2017_F11,36,1266129.096875341
A-POA,CEC2017_F11,37,183492.83323333133
A-POA,CEC2017_F11,38,5934.114275070895
A-POA,CEC2017_F11,39,4199.531419590447
A-POA,CEC2017_F11,40,447353.5642322806
A-POA,CEC2017_F11,41,111738.58912243924
A-POA,CEC2017_F11,42,19934.133500869302
A-POA,CEC2017_F11,43,834327.2627966127
A-POA,CEC2017_F11,44,155053.14930984884
A-POA,CEC2017_F11,45,1904927.068026425
A-POA,CEC2017_F11,46,1186119.6584543206
A-POA,CEC2017_F11,47,1452707.228497946
A-POA,CEC2017_F11,48,91472.70788345044
A-POA,CEC2017_F11,49,343472.7321859203
A-POA,CEC2017_F12,0,8902.55167064181
A-POA,CEC2017_F12,1,10147.910948090746
A-POA,CEC2017_F12,2,10647.8449309868
A-POA,CEC2017_F12,3,6229.103422236131
A-POA,CEC2017_F12,4,7318.671499399266
A-POA,CEC2017_F12,5,7331.78578203237
A-POA,CEC2017_F12,6,9375.915442631023
